Time,Heart Rate
00:00:08,69
00:00:13,70
00:00:28,71
00:00:43,71
00:00:48,69
00:00:58,68
00:01:03,67
00:01:08,66
00:01:23,67
00:01:28,69
00:01:43,69
00:01:48,71
00:01:53,72
00:01:58,71
00:02:03,69
00:02:08,68
00:02:13,69
00:02:18,68
00:02:23,67
00:02:33,66
00:02:43,65
00:02:48,65
00:02:53,63
00:03:03,64
00:03:08,64
00:03:13,74
00:03:18,78
00:03:23,78
00:03:28,77
00:03:33,73
00:03:38,70
00:03:43,66
00:03:48,65
00:04:03,65
00:04:04,64
00:04:14,65
00:04:19,65
00:04:24,64
00:04:39,64
00:04:49,66
00:04:54,68
00:04:59,69
00:05:04,72
00:05:09,71
00:05:14,68
00:05:19,66
00:05:24,65
00:05:29,66
00:05:34,67
00:05:49,67
00:06:04,67
00:06:09,69
00:06:19,68
00:06:29,69
00:06:34,70
00:06:44,71
00:06:49,79
00:06:59,75
00:07:04,72
00:07:10,68
00:07:15,64
00:07:20,61
00:07:35,61
00:07:40,65
00:07:45,64
00:07:50,63
00:08:05,63
00:08:10,64
00:08:20,65
00:08:25,67
00:08:40,67
00:08:55,66
00:09:05,67
00:09:10,69
00:09:15,68
00:09:20,67
00:09:35,67
00:09:50,68
00:09:55,67
00:10:10,67
00:10:15,67
00:10:20,69
00:10:26,68
00:10:36,69
00:10:41,70
00:10:46,69
00:11:01,69
00:11:06,68
00:11:11,67
00:11:16,66
00:11:21,67
00:11:36,67
00:11:51,68
00:11:56,67
00:12:06,68
00:12:11,67
00:12:26,68
00:12:31,67
00:12:41,68
00:12:46,70
00:12:51,69
00:12:56,66
00:13:06,68
00:13:21,68
00:13:36,68
00:13:41,69
00:13:56,69
00:14:11,69
00:14:18,68
00:14:28,69
00:14:38,68
00:14:53,68
00:15:08,69
00:15:23,69
00:15:28,70
00:15:33,69
00:15:38,68
00:15:48,69
00:16:03,69
00:16:13,68
00:16:18,67
00:16:23,68
00:16:28,69
00:16:33,68
00:16:38,68
00:16:53,68
00:16:58,67
00:17:08,68
00:17:13,69
00:17:28,69
00:17:33,68
00:17:48,68
00:17:58,69
00:18:13,69
00:18:23,70
00:18:29,69
00:18:44,70
00:18:54,69
00:18:59,68
00:19:09,69
00:19:24,70
00:19:39,70
00:19:49,69
00:20:04,69
00:20:19,69
00:20:29,69
00:20:44,69
00:20:54,68
00:20:59,67
00:21:14,67
00:21:19,68
00:21:34,68
00:21:39,68
00:21:49,67
00:21:59,68
00:22:14,68
00:22:19,69
00:22:29,70
00:22:34,69
00:22:40,69
00:22:45,68
00:22:55,69
00:23:00,68
