Time,Heart Rate
00:00:03,78
00:00:18,77
00:00:33,78
00:00:38,81
00:00:43,84
00:00:48,85
00:00:58,86
00:01:08,87
00:01:13,89
00:01:18,91
00:01:33,91
00:01:43,92
00:01:58,92
00:02:13,92
00:02:28,92
00:02:43,92
00:02:44,92
00:02:49,91
00:02:54,89
00:03:09,89
00:03:24,89
00:03:29,91
00:03:34,93
00:03:39,94
00:03:54,94
00:04:04,95
00:04:19,95
00:04:29,97
00:04:34,101
00:04:39,102
00:04:44,99
00:04:49,98
00:04:59,97
00:05:04,96
00:05:09,96
00:05:14,95
00:05:19,90
00:05:24,82
00:05:29,80
00:05:34,81
00:05:44,78
00:05:49,73
00:05:56,72
00:06:01,78
00:06:06,82
00:06:11,80
00:06:16,77
00:06:21,75
00:06:26,76
00:06:31,77
00:06:36,80
00:06:41,81
00:06:46,80
00:06:56,82
00:07:01,85
00:07:06,81
00:07:11,76
00:07:16,75
00:07:21,81
00:07:26,85
00:07:36,85
00:07:41,82
00:07:46,81
00:07:51,83
00:07:56,82
00:08:01,80
00:08:06,79
00:08:16,78
00:08:26,80
00:08:32,81
00:08:37,79
00:08:42,78
00:08:47,77
00:08:57,78
00:09:07,76
00:09:12,75
00:09:27,76
00:09:37,76
00:09:47,76
00:09:52,77
00:09:57,78
00:10:12,78
00:10:17,79
00:10:32,80
00:10:42,81
00:10:47,80
00:10:52,79
00:11:02,79
00:11:07,79
00:11:12,78
00:11:17,77
00:11:27,77
00:11:32,76
00:11:37,77
00:11:42,79
00:11:52,79
00:11:57,79
00:12:02,80
00:12:07,84
00:12:12,89
00:12:17,90
00:12:22,89
00:12:27,88
00:12:32,86
00:12:37,80
00:12:42,79
00:12:47,78
00:12:52,77
00:12:57,77
00:13:02,78
00:13:07,79
00:13:12,78
00:13:27,78
00:13:32,77
00:13:37,76
00:13:42,75
00:13:47,76
00:13:52,77
00:14:02,76
00:14:07,75
00:14:12,74
00:14:17,75
00:14:27,74
00:14:32,72
00:14:47,72
00:14:52,73
00:15:07,73
00:15:17,75
00:15:22,76
00:15:27,77
00:15:37,78
00:15:42,79
00:15:52,78
00:15:57,77
00:16:02,75
00:16:17,75
00:16:27,76
00:16:32,77
00:16:37,78
00:16:42,77
00:16:47,76
00:17:02,76
00:17:12,76
00:17:17,75
00:17:22,76
00:17:27,78
00:17:32,77
00:17:42,78
00:17:57,78
00:17:58,77
00:18:03,76
00:18:13,77
00:18:18,78
00:18:28,79
00:18:33,78
00:18:38,78
00:18:43,79
00:18:48,77
00:18:58,78
00:19:08,79
00:19:13,79
00:19:18,78
00:19:23,77
00:19:28,78
00:19:33,80
00:19:38,79
00:19:43,78
00:19:48,79
00:19:53,80
00:19:58,82
00:20:03,83
00:20:08,82
00:20:13,81
00:20:23,80
00:20:28,79
00:20:33,78
00:20:38,78
00:20:48,80
00:20:53,81
00:21:08,80
00:21:13,79
00:21:18,78
00:21:23,79
00:21:33,81
00:21:38,82
00:21:48,82
00:21:53,81
00:21:58,80
00:22:03,79
00:22:13,81
00:22:23,82
00:22:28,81
00:22:33,80
00:22:48,80
00:23:03,80
00:23:08,81
00:23:13,81
00:23:18,80
00:23:23,79
00:23:38,79
00:23:43,81
00:23:49,79
00:23:54,79
00:23:59,80
00:24:14,80
00:24:24,81
00:24:29,85
00:24:34,86
00:24:44,86
00:24:59,86
00:25:04,85
00:25:09,83
00:25:14,80
00:25:19,79
00:25:24,81
00:25:29,83
00:25:34,79
00:25:39,76
00:25:44,74
00:25:49,72
00:25:54,72
00:25:59,72
00:26:04,73
00:26:09,74
00:26:24,74
00:26:29,75
00:26:34,74
00:26:39,73
00:26:48,73
00:26:53,75
00:27:08,74
00:27:18,75
00:27:23,76
00:27:28,77
00:27:33,76
00:27:48,74
00:27:53,73
00:27:58,75
00:28:03,73
00:28:08,74
00:28:13,76
00:28:18,78
00:28:23,75
00:28:28,73
00:28:38,74
00:28:43,75
00:28:53,76
00:28:58,75
00:29:03,74
00:29:08,77
00:29:13,80
00:29:18,78
00:29:23,75
00:29:28,72
00:29:33,71
00:29:39,72
00:29:49,73
00:29:54,72
00:29:59,74
00:30:09,78
00:30:14,80
00:30:19,75
00:30:24,72
00:30:39,72
00:30:44,70
00:30:54,69
00:31:04,71
00:31:14,72
00:31:24,71
00:31:39,71
00:31:44,72
00:31:49,71
00:31:54,70
00:31:59,71
00:32:14,72
00:32:24,71
00:32:39,71
00:32:54,71
00:33:04,72
00:33:19,73
00:33:34,73
00:33:39,72
00:33:44,71
00:33:49,72
00:33:54,73
00:34:09,74
00:34:14,72
00:34:19,71
00:34:29,72
00:34:44,72
00:34:49,73
00:34:59,74
00:35:09,75
00:35:14,74
00:35:29,73
00:35:34,74
00:35:49,74
00:35:54,75
00:36:09,75
00:36:14,76
00:36:29,74
00:36:44,74
00:36:54,73
00:36:59,74
00:37:09,75
00:37:24,75
00:37:39,74
00:37:54,74
00:37:55,75
00:38:00,76
00:38:05,77
00:38:15,76
00:38:20,75
00:38:35,75
00:38:45,76
00:38:55,75
00:39:05,74
00:39:15,75
00:39:20,76
00:39:35,75
00:39:50,75
00:40:05,75
00:40:20,74
00:40:30,75
00:40:35,76
00:40:50,75
00:41:05,75
00:41:10,74
00:41:25,74
00:41:30,75
00:41:35,76
00:41:45,77
00:41:50,76
00:41:55,75
00:42:10,75
00:42:12,76
00:42:22,75
00:42:37,74
00:42:42,75
00:42:47,76
00:42:57,75
00:43:02,76
00:43:07,75
00:43:22,75
00:43:32,74
00:43:37,75
00:43:42,74
00:43:57,75
00:44:12,75
00:44:27,75
00:44:42,76
00:44:57,76
00:45:02,74
00:45:17,75
00:45:32,74
00:45:42,75
00:45:57,75
00:46:02,74
00:46:17,74
00:46:32,74
00:46:37,73
00:46:47,74
00:46:53,73
00:47:08,74
00:47:23,74
00:47:28,73
00:47:38,74
00:47:48,73
00:48:03,73
00:48:13,74
00:48:23,73
00:48:38,74
00:48:53,73
00:49:08,73
00:49:18,74
00:49:23,73
00:49:38,72
00:49:43,73
00:49:58,73
00:50:08,72
00:50:18,73
00:50:23,74
00:50:28,73
00:50:33,71
00:50:43,72
00:50:53,73
00:50:58,72
00:51:08,71
00:51:23,72
00:51:28,73
00:51:33,72
00:51:43,71
00:51:58,72
00:52:08,71
00:52:13,72
00:52:23,71
00:52:33,72
00:52:48,72
00:52:53,70
00:53:08,70
00:53:13,71
00:53:18,73
00:53:28,72
00:53:33,71
00:53:38,72
00:53:43,70
00:53:48,69
00:53:53,71
00:53:58,72
00:54:03,73
00:54:08,74
00:54:13,71
00:54:23,70
00:54:38,70
00:54:43,71
00:54:49,71
00:54:54,70
00:55:09,70
00:55:14,71
00:55:24,72
00:55:39,72
00:55:49,70
00:55:54,69
00:55:59,70
00:56:14,70
00:56:19,71
00:56:24,72
00:56:29,71
00:56:39,70
00:56:44,71
00:56:59,71
00:57:04,72
00:57:19,71
00:57:24,70
00:57:39,71
00:57:49,72
00:57:54,71
00:58:09,70
00:58:14,69
00:58:29,70
00:58:34,71
00:58:39,70
00:58:45,69
00:58:50,68
00:58:55,67
00:59:00,68
00:59:10,69
00:59:15,68
00:59:25,69
00:59:40,69
00:59:55,70
01:00:10,69
01:00:25,70
01:00:40,70
01:00:55,70
01:01:00,69
01:01:10,70
01:01:15,69
01:01:20,68
01:01:35,69
01:01:40,70
01:01:50,69
01:02:05,68
01:02:10,69
01:02:20,69
01:02:25,70
01:02:40,80
01:02:45,78
01:02:50,69
01:02:55,62
01:03:00,61
01:03:05,59
01:03:10,58
01:03:20,59
01:03:25,60
01:03:35,59
01:03:45,60
01:03:50,62
01:03:55,65
01:04:00,67
01:04:05,66
01:04:20,66
01:04:25,67
01:04:30,68
01:04:45,67
01:04:50,65
01:04:55,63
01:05:00,62
01:05:05,65
01:05:10,70
01:05:15,74
01:05:20,77
01:05:25,78
01:05:30,77
01:05:35,78
01:05:41,77
01:05:46,75
01:05:51,74
01:05:56,74
01:06:01,71
01:06:06,71
01:06:11,74
01:06:16,76
01:06:21,75
01:06:26,73
01:06:41,73
01:06:46,71
01:06:56,73
01:07:01,74
01:07:11,72
01:07:16,71
01:07:21,73
01:07:26,77
01:07:31,78
01:07:36,77
01:07:51,80
01:07:56,81
01:08:01,79
01:08:06,78
01:08:11,76
01:08:16,71
