Time,Heart Rate
00:00:03,74
00:00:08,84
00:00:13,84
00:00:23,85
00:00:28,87
00:00:33,92
00:00:48,92
00:01:03,92
00:01:08,92
00:01:23,92
00:01:38,94
00:01:43,99
00:01:48,103
00:01:53,104
00:02:03,105
00:02:13,105
00:02:18,106
00:02:23,107
00:02:38,108
00:02:43,110
00:02:58,110
00:03:44,97
00:03:54,99
00:03:59,100
00:04:09,101
00:04:14,100
00:04:24,105
00:04:29,103
00:04:34,98
00:04:39,95
00:04:44,95
00:04:59,97
00:05:04,98
00:05:09,100
00:05:14,101
00:05:19,102
00:05:24,102
00:05:39,97
00:05:44,94
00:05:49,90
00:05:54,87
00:05:59,86
00:06:14,86
00:06:29,86
00:06:39,85
00:06:44,84
00:06:49,81
00:06:54,80
00:07:01,78
00:07:16,78
00:07:31,78
00:07:41,80
00:07:46,82
00:07:51,85
00:07:56,84
00:08:01,80
00:08:06,75
00:08:11,74
00:08:26,74
00:08:31,71
00:08:36,69
00:08:41,71
00:08:46,73
00:08:51,74
00:08:56,75
00:09:11,75
00:09:16,72
00:09:21,71
00:09:31,72
00:09:36,71
00:09:41,70
00:09:46,71
00:09:51,69
00:09:58,69
00:10:03,71
00:10:08,70
00:10:18,69
00:10:33,70
00:10:48,71
00:10:53,70
00:10:58,68
00:11:13,68
00:11:18,69
00:11:23,70
00:11:28,71
00:11:33,70
00:11:48,69
00:11:53,70
00:12:03,71
00:12:08,72
00:12:13,70
00:12:18,68
00:12:28,69
00:12:33,72
00:12:38,71
00:12:43,67
00:12:48,67
00:12:53,66
00:13:03,70
00:13:08,71
00:13:13,70
00:13:18,71
00:13:28,70
00:13:33,69
00:13:38,68
00:13:43,67
00:13:48,66
00:13:53,65
00:13:58,64
00:14:08,66
00:14:13,67
00:14:18,66
00:14:33,66
00:14:43,65
00:14:48,66
00:14:53,65
00:15:03,66
00:15:08,65
00:15:13,67
00:15:18,68
00:15:23,69
00:15:38,69
00:15:48,68
00:15:58,67
00:16:13,67
00:16:23,68
00:16:28,69
00:16:34,69
00:16:49,68
00:16:54,67
00:17:04,69
00:17:14,71
00:17:19,72
00:17:29,74
00:17:34,75
00:17:39,73
00:17:44,70
00:17:49,67
00:17:54,65
00:17:59,64
00:18:14,64
00:18:19,65
00:18:24,64
00:18:39,65
00:18:44,66
00:18:49,68
00:18:54,70
00:18:59,71
00:19:04,68
00:19:09,66
00:19:19,67
00:19:24,68
00:19:29,66
00:19:39,69
00:19:44,71
00:19:49,69
00:20:04,70
00:20:14,69
00:20:29,69
00:20:44,68
00:20:49,69
00:20:54,70
00:20:59,72
00:21:04,73
00:21:09,71
00:21:14,69
00:21:19,67
00:21:24,66
00:21:39,66
00:21:44,69
00:21:54,70
00:22:04,71
00:22:09,70
00:22:24,70
00:22:34,71
00:22:44,73
00:22:49,72
00:22:54,70
00:22:59,69
00:23:05,68
00:23:15,67
00:23:20,66
00:23:35,66
00:23:45,67
00:23:50,67
00:23:55,68
00:24:00,69
00:24:05,69
00:24:15,70
00:24:25,69
00:24:35,70
00:24:40,71
00:24:45,70
00:24:55,69
00:25:10,68
00:25:25,68
00:25:30,69
00:25:35,71
00:25:40,75
00:25:45,78
00:25:50,79
00:25:55,78
00:26:00,77
00:26:05,74
00:26:10,72
00:26:20,73
00:26:25,72
00:26:30,71
00:26:45,73
00:26:50,74
00:26:55,73
00:27:10,73
00:27:15,70
00:27:20,69
00:27:25,68
00:27:35,69
00:27:50,69
00:27:55,70
00:28:05,71
00:28:10,73
00:28:15,74
00:28:30,74
00:28:35,73
00:28:50,73
00:28:55,72
00:29:00,71
00:29:10,72
00:29:20,71
00:29:25,68
00:29:30,67
00:29:35,66
00:29:41,67
00:29:51,68
00:29:56,67
00:30:06,66
00:30:11,65
00:30:16,66
00:30:21,67
00:30:31,66
00:30:41,67
00:30:46,70
00:30:51,72
00:31:01,71
00:31:16,69
00:31:21,68
00:31:36,68
00:31:41,67
00:31:46,66
00:31:51,65
00:31:56,65
00:32:11,70
00:32:16,75
00:32:21,73
00:32:26,70
00:32:31,66
00:32:36,64
00:32:41,63
00:32:51,64
00:32:56,65
00:33:01,64
00:33:06,65
00:33:11,67
00:33:16,68
00:33:21,69
00:33:26,70
00:33:31,69
00:33:36,67
00:33:51,67
00:33:56,70
00:34:06,70
00:34:11,71
00:34:16,73
00:34:21,74
00:34:26,69
00:34:31,67
00:34:41,66
00:34:46,63
00:34:51,62
00:35:01,64
00:35:11,66
00:35:16,65
00:35:21,64
00:35:26,66
00:35:36,69
00:35:42,70
00:35:52,71
00:35:57,70
00:36:02,66
00:36:07,65
00:36:12,63
00:36:17,62
00:36:22,63
00:36:27,66
00:36:32,69
00:36:37,68
00:36:42,67
00:36:47,65
00:36:52,64
00:36:57,64
00:37:02,67
00:37:07,77
00:37:12,76
00:37:17,72
00:37:22,67
00:37:27,64
00:37:32,62
00:37:42,61
00:37:47,62
00:37:52,63
00:38:02,64
00:38:07,65
00:38:12,67
00:38:22,66
00:38:27,65
00:38:32,64
00:38:37,63
00:38:47,64
00:38:52,66
00:38:57,67
00:39:07,66
00:39:22,67
00:39:27,69
00:39:32,70
00:39:37,69
00:39:42,67
00:39:47,65
00:40:02,64
00:40:07,63
00:40:12,65
00:40:17,64
00:40:27,67
00:40:32,68
00:40:42,69
00:40:47,70
00:41:02,70
00:41:07,72
00:41:13,73
00:41:28,73
00:41:38,72
00:41:43,71
00:41:53,69
00:41:58,68
00:42:13,68
00:42:18,69
00:42:23,71
00:42:28,72
00:42:33,71
00:42:38,72
00:42:43,71
00:42:48,69
00:42:53,68
00:42:58,69
00:43:13,70
00:43:28,71
00:43:38,73
00:43:43,74
00:43:53,76
00:43:58,75
00:44:13,77
00:44:18,92
00:44:23,98
00:44:28,96
00:44:33,87
00:44:38,77
00:44:43,68
00:44:48,66
00:44:53,67
00:44:58,65
00:45:03,64
00:45:08,62
00:45:13,61
00:45:28,63
00:45:33,64
00:45:38,65
00:45:43,66
00:45:48,65
00:45:53,64
00:45:58,63
00:46:03,62
00:46:13,63
00:46:28,63
00:46:33,64
00:46:48,66
00:46:53,67
00:46:58,66
00:47:04,64
00:47:14,63
00:47:19,62
00:47:34,62
00:47:44,61
00:47:59,61
00:48:09,60
00:48:14,59
00:48:24,58
00:48:34,59
00:48:39,60
00:48:44,62
00:48:49,63
00:48:54,62
00:48:59,61
00:49:09,60
00:49:24,60
00:49:29,59
00:49:34,58
00:49:44,57
00:49:49,59
00:50:04,60
00:50:09,61
00:50:19,60
00:50:24,59
00:50:29,58
00:50:34,57
00:50:39,57
00:50:44,64
00:50:49,72
00:50:54,70
00:50:59,66
00:51:04,64
00:51:14,60
00:51:19,58
00:51:29,57
00:51:34,56
00:51:39,54
00:51:44,55
00:51:54,56
00:52:09,57
00:52:14,58
00:52:19,59
00:52:24,60
00:52:29,59
00:52:34,58
00:52:44,60
00:52:49,62
00:52:54,61
00:52:59,60
00:53:09,61
00:53:14,62
00:53:29,62
00:53:35,59
00:53:40,58
00:53:45,57
00:53:50,58
00:54:00,59
00:54:15,59
00:54:30,58
00:54:45,57
00:55:00,58
00:55:10,57
00:55:20,59
00:55:25,60
00:55:35,62
00:55:50,62
00:55:55,61
00:56:00,62
00:56:05,68
00:56:10,70
00:56:15,69
00:56:20,68
00:56:25,69
00:56:40,70
00:56:45,69
00:56:50,65
00:57:00,66
00:57:15,66
00:57:20,64
00:57:25,63
00:57:30,62
00:57:40,63
00:57:45,61
00:57:55,64
00:58:00,65
00:58:05,66
00:58:10,67
00:58:20,66
00:58:25,64
00:58:30,63
00:58:45,62
00:58:50,59
00:58:55,58
00:59:05,61
00:59:10,63
00:59:15,64
00:59:20,62
00:59:25,61
00:59:30,62
00:59:35,66
00:59:40,68
00:59:45,67
00:59:50,63
01:00:00,64
01:00:05,65
01:00:10,68
01:00:16,68
01:00:21,65
01:00:26,63
01:00:36,64
01:00:41,63
01:00:46,62
01:00:51,61
01:00:56,63
01:01:06,62
01:01:11,61
01:01:21,63
01:01:26,63
01:01:31,62
01:01:36,64
01:01:41,69
01:01:46,75
01:01:51,76
01:01:56,70
01:02:01,65
01:02:06,63
01:02:11,64
01:02:16,66
01:02:26,65
01:02:36,63
01:02:41,62
01:02:46,63
01:02:51,62
01:02:56,62
01:03:01,67
01:03:06,71
01:03:11,70
01:03:21,71
01:03:26,74
01:03:31,72
01:03:36,69
01:03:41,69
01:03:46,68
01:03:51,66
01:03:56,64
01:04:01,62
01:04:11,63
01:04:16,64
01:04:26,62
01:04:31,63
01:04:36,60
01:04:41,59
01:04:51,61
01:05:06,62
01:05:11,67
01:05:16,65
01:05:21,62
01:05:26,59
01:05:31,58
01:05:41,61
01:05:46,64
01:05:51,65
01:05:56,64
01:06:06,65
01:06:11,63
01:06:21,64
01:06:26,63
01:06:31,62
01:06:36,61
01:06:46,63
01:06:51,64
01:06:56,61
01:07:01,58
01:07:06,56
01:07:11,58
01:07:16,60
01:07:21,59
01:07:26,60
01:07:31,62
01:07:36,59
01:07:46,60
01:07:51,61
01:08:01,62
01:08:06,63
01:08:21,63
01:08:26,61
01:08:32,62
01:08:37,64
01:08:42,63
01:08:57,61
01:09:02,59
01:09:12,60
01:09:27,60
01:09:32,61
01:09:37,62
01:09:47,60
01:09:57,61
01:10:02,60
01:10:07,59
01:10:22,58
01:10:27,59
01:10:32,60
01:10:37,59
01:10:47,60
01:11:02,61
01:11:12,62
01:11:17,61
01:11:22,62
01:11:37,62
01:11:47,61
01:11:52,60
01:12:02,61
01:12:07,62
01:12:12,61
01:12:17,62
01:12:27,61
01:12:42,62
01:12:47,61
01:12:57,60
01:13:07,62
01:13:17,61
01:13:22,62
01:13:27,61
01:13:32,62
01:13:37,63
01:13:42,64
01:13:47,63
01:13:57,62
01:14:02,61
01:14:12,62
01:14:17,63
01:14:22,62
01:14:27,61
01:14:37,60
01:14:47,61
01:14:52,62
01:15:07,62
01:15:12,60
01:15:27,60
01:15:28,59
01:15:38,60
01:15:48,61
01:16:03,60
01:16:08,59
01:16:23,60
01:16:28,61
01:16:38,60
01:16:53,60
01:17:08,60
01:17:18,61
01:17:28,62
01:17:38,61
01:17:53,61
01:18:08,61
01:18:13,60
01:18:28,60
01:18:33,61
01:18:48,61
01:19:03,62
01:19:13,63
01:19:18,62
01:19:23,61
01:19:38,61
01:19:53,61
01:19:58,60
